Name;Size;Author;Downloads;Date;Path
Excercises01.pdf;59609;"Annette Möller";47;"21.04.2020 12:44";Excercises01.pdf
Excercises02.pdf;58048;"Annette Möller";35;"30.04.2020 17:07";Excercises02.pdf
Excercises03.pdf;56170;"Annette Möller";29;"07.05.2020 15:47";Excercises03.pdf
Exercises01.R;2975;"Annette Möller";13;"29.04.2020 17:17";Exercises01.R
Exercises02.R;6521;"Annette Möller";17;"08.05.2020 21:16";Exercises02.R
Exercises03.R;3062;"Annette Möller";13;"15.05.2020 17:09";Exercises03.R
Exercises04.pdf;80766;"Annette Möller";12;"18.05.2020 14:38";Exercises04.pdf
Exercises04.R;5235;"Annette Möller";12;"28.05.2020 14:41";Exercises04.R
Exercises05.pdf;62283;"Annette Möller";14;"03.06.2020 13:18";Exercises05.pdf
Exercises05.R;2342;"Annette Möller";9;"11.06.2020 13:06";Exercises05.R
Exercises06.pdf;64426;"Annette Möller";8;"11.06.2020 13:05";Exercises06.pdf
Exercises06.R;8115;"Annette Möller";8;"18.06.2020 18:26";Exercises06.R
Exercises07.pdf;76775;"Annette Möller";8;"24.06.2020 16:19";Exercises07.pdf
Exercises07.R;2550;"Annette Möller";5;"02.07.2020 12:51";Exercises07.R
Exercises08.pdf;97316;"Annette Möller";7;"07.07.2020 12:59";Exercises08.pdf
Exercises08.R;4305;"Annette Möller";2;"22.07.2020 12:10";Exercises08.R
Exercises09.pdf;81411;"Annette Möller";6;"13.07.2020 13:16";Exercises09.pdf
Exercises09.R;2925;"Annette Möller";3;"22.07.2020 12:10";Exercises09.R
jet.txt;894;"Annette Möller";6;"18.05.2020 14:38";jet.txt
knie.txt;1885;"Annette Möller";7;"24.06.2020 18:06";knie.txt
measure.txt;393;"Annette Möller";4;"18.05.2020 14:38";measure.txt
Vegi.csv;62;"Annette Möller";8;"29.04.2020 17:17";Vegi.csv
Vegi.txt;86;"Annette Möller";9;"29.04.2020 17:17";Vegi.txt
